"year","doy","hour","SolarR","Temp","RH","WS","precip"
2016,65,8,-3388999.93896484,1.08098754882815,0.926500015258789,2.2262499332428,0
2016,65,8,-3388999.93896484,1.00301513671877,0.936750030517578,2.33124995231628,0
2016,65,10,-3388999.93896484,0.879510498046898,0.94375,3.24574995040894,0
2016,65,10,-3388999.93896484,0.777490234375023,0.95375,2.79924988746643,0
2016,65,12,-3388999.93896484,0.899987792968773,0.961999969482422,2.94000005722046,0
2016,65,12,-3388999.93896484,1.25100097656252,0.967249984741211,2.96724987030029,0
2016,65,14,8428500.17547607,1.49251708984377,0.970500030517578,2.74974989891052,0
2016,65,14,96050003.0517578,1.89849243164065,0.973500061035156,3.08349990844727,0
2016,65,16,382375000,2.76101074218752,0.949499969482422,4.13625001907349,0
2016,65,16,508750000,4.12600097656252,0.88,3.48825001716614,0
2016,65,18,521799987.792969,4.88326416015627,0.821374969482422,4.41149997711182,0
2016,65,18,616875000,5.61800537109377,0.754049987792969,5.16774988174438,0
2016,65,20,495724975.585938,5.82698974609377,0.711500015258789,5.63724994659424,0
2016,65,20,351424987.792969,5.7447448730469,0.737099990844727,5.39274978637695,0
2016,65,22,227299987.792969,5.54049072265627,0.759974975585938,5.58150005340576,0
2016,65,22,188125000,5.45400390625002,0.765550003051758,5.61250019073486,0
2016,66,0,11759750.3662109,4.55776367187502,0.800625,4.99349975585938,0
2016,66,2,-3232749.93896484,3.92525634765627,0.835749969482422,4.13399982452393,0
2016,66,2,-3388750.07629395,3.5515075683594,0.825,3.52325010299683,0
2016,66,4,-3388999.93896484,3.30123291015627,0.816399993896484,2.68425011634827,0
2016,66,4,-3388999.93896484,3.1197448730469,0.817750015258789,2.13849997520447,0
2016,66,6,-3388999.93896484,2.9630065917969,0.813249969482422,1.8897500038147,0
2016,66,6,-3388999.93896484,2.67449340820315,0.777750015258789,1.9172500371933,0
2016,66,8,-3388999.93896484,2.06075439453127,0.787550048828125,0.769999980926514,0
2016,66,8,-3388999.93896484,1.6824890136719,0.79067497253418,0.802999973297119,0
2016,66,10,-3388999.93896484,1.72200927734377,0.780250015258789,1.25475001335144,0
2016,66,10,-3388999.93896484,0.884484863281273,0.821000061035156,1.14024996757507,0
